SIM,FC_TH
SCM-2-001 ,6.224697175521966e-06
SCM-2-002 ,3.4635946316189455e-05
SCM-2-003 ,1.3242544811210294e-05
SCM-2-004 ,8.78818474525108e-06
SCM-2-005 ,1.1370050670522599e-05
SCM-2-006 ,9.200870953988522e-05
SCM-2-007 ,1.25313796089346e-05
SCM-2-008 ,1.2673045129522029e-05
SCM-2-009 ,1.8671413925464466e-05
SCM-2-010 ,1.822996146195994e-05
