SIM,F
SCM-2-001,1,01
SCM-2-002,0,377879
SCM-2-003,1,01
SCM-2-004,1,01
SCM-2-005,1,01
SCM-2-006,1,01
SCM-2-007,0,377879
SCM-2-008,1,01
SCM-2-009,0,377879
SCM-2-010,1,01
