SIM,F
SCM-1-001,0,377879
SCM-1-002,0,377879
SCM-1-003,1,01
SCM-1-004,0,377879
SCM-1-005,0,377879
SCM-1-006,0,377879
SCM-1-007,0,377879
SCM-1-008,0,377879
SCM-1-009,0,377879
SCM-1-010,1,01
