SIM,FC_TH
SCM-2-001,0.00011109452704239416
SCM-2-002,5.08087694954569e-05
SCM-2-003,2.8391846601801707e-05
SCM-2-004,1.2599573286967639e-05
SCM-2-005,3.7005904464064925e-05
SCM-2-006,1.9257437399634174e-05
SCM-2-007,1.413604438363519e-05
SCM-2-008,4.549420158763332e-05
SCM-2-009,8.180985155739773e-06
SCM-2-010,1.4640073800171614e-05
SCM-2-011,1.2767465686668708e-05
SCM-2-012,0.0001094471429732898
SCM-2-013,4.56732995944415e-05
SCM-2-014,1.3389283515686604e-05
SCM-2-015,2.0529319564383374e-05
SCM-2-016,1.8578685108620821e-06
SCM-2-017,6.095845639581784e-05
SCM-2-018,0.00012732753052274764
SCM-2-019,2.3537785048577766e-05
SCM-2-020,1.4422045918620572e-05
SCM-2-021,7.876976219926135e-06
SCM-2-022,8.11560656334923e-05
SCM-2-023,1.0292706679420144e-05
SCM-2-024,1.0793562828823042e-05
SCM-2-025,5.342367325092458e-05
SCM-2-026,5.988596946638671e-06
SCM-2-027,2.756889849249587e-05
SCM-2-028,4.8907373643900153e-05
SCM-2-029,5.2241024954961386e-05
SCM-2-030,5.841965766274714e-06
SCM-2-031,6.993475148413945e-05
SCM-2-032,4.299058541786427e-05
SCM-2-033,6.812731671259912e-05
SCM-2-034,5.8809814315074195e-06
SCM-2-035,6.936450355820308e-05
SCM-2-036,4.840087395955732e-05
SCM-2-037,1.5188965744718576e-05
SCM-2-038,0.0004238127895444826
SCM-2-039,9.868905120218903e-06
SCM-2-040,0.00012143551943050828
SCM-2-041,5.658698625930869e-06
SCM-2-042,8.778706932354296e-05
SCM-2-043,7.163321035012672e-05
SCM-2-044,1.1628375243839552e-05
SCM-2-045,9.442534467098736e-06
SCM-2-046,0.00010528761569849959
SCM-2-047,1.3457727801232435e-05
SCM-2-048,4.7451690459588636e-05
SCM-2-049,4.646182101883572e-05
SCM-2-050,8.926162556133869e-05
SCM-2-051,6.368452216325985e-05
SCM-2-052,3.8693520067589366e-05
SCM-2-053,3.287787104815116e-05
SCM-2-054,2.1377629057023057e-05
SCM-2-055,2.120081345386892e-05
SCM-2-056,2.5162434361584455e-05
SCM-2-057,2.06166339118951e-05
SCM-2-058,2.272091844185335e-05
SCM-2-059,9.7551370811059e-06
SCM-2-060,1.458444421928681e-05
SCM-2-061,9.842301733559599e-06
SCM-2-062,1.1005992728539385e-05
SCM-2-063,3.2347894433574617e-05
SCM-2-064,7.602588302962336e-05
SCM-2-065,4.053863079034946e-06
SCM-2-066,4.79668606319068e-05
SCM-2-067,7.656440627011386e-05
SCM-2-068,6.620941338795598e-05
SCM-2-069,0.00010371261645787945
SCM-2-070,9.00598089136643e-05
SCM-2-071,2.239866361221971e-05
SCM-2-072,0.00013615200121650593
SCM-2-073,1.3928935002528314e-05
SCM-2-074,1.9803870227217608e-05
SCM-2-075,8.409067344734853e-06
SCM-2-076,2.6396047357792637e-05
SCM-2-077,5.080327990916236e-05
SCM-2-078,1.19713280548303e-05
SCM-2-079,7.994571014922536e-06
SCM-2-080,4.5572968810921905e-05
SCM-2-081,1.2304587724777912e-05
SCM-2-082,8.65442288241964e-05
SCM-2-083,5.017570239951007e-05
SCM-2-084,1.037147093142716e-05
SCM-2-085,4.2198557026694394e-05
SCM-2-086,8.208828599581071e-05
SCM-2-087,8.91671916282985e-06
SCM-2-088,6.32595258876516e-05
SCM-2-089,3.958471852458179e-06
SCM-2-090,2.3645408013607575e-05
